,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date
2553,en,False,1440959777652154372,"Pfizer vaccine safe in children aged 5-11, results of trial find https://t.co/ts0dU6afUs",[],[],[],['https://t.co/ts0dU6afUs'],USA,Pfizer vaccine safe in children aged 5 11  results of trial find https   t co ts0dU6afUs,2021-09-23 09:00:00
2554,en,False,1440959768626089984,@JoyceSchlessin1 @DrEricDing Might be able to get a Pfizer booster? I’m going to ask..,[],[],"['JoyceSchlessin1', 'DrEricDing']",[],USA, JoyceSchlessin1  DrEricDing Might be able to get a Pfizer booster  I’m going to ask  ,2021-09-23 09:00:00
2555,en,False,1440959766122008587,Welcome to our Pfizer family and thank you. https://t.co/o1jOCRLIA3,[],[],[],['https://t.co/o1jOCRLIA3'],USA,Welcome to our Pfizer family and thank you  https   t co o1jOCRLIA3,2021-09-23 09:00:00
2556,en,False,1440959764628860932,@tchbastard @cscviews So many lies from Hunt - we should be swimming in Pfizer based on their 1M a week,[],[],"['tchbastard', 'cscviews']",[],USA, tchbastard  cscviews So many lies from Hunt   we should be swimming in Pfizer based on their 1M a week,2021-09-23 09:00:00
2557,en,False,1440959710551810050,"⬇️
- ACHTUNG -

""U.S. FDA authorizes Pfizer 'booster shots' for those aged 65+ and adults at HIGH RISK.""

💉💉  #BigPharmaTyranny  💉💉 https://t.co/fzZKLhRiGH https://t.co/RBmXBlVNrX","['💉', '⬇️']",['BigPharmaTyranny'],[],['https://t.co/fzZKLhRiGH'],USA,  ACHTUNG   U S  FDA authorizes Pfizer  booster shots  for those aged 65  and adults at HIGH RISK     BigPharmaTyranny   https   t co fzZKLhRiGH https   t co RBmXBlVNrX,2021-09-23 09:00:00
2558,en,True,1440959709176123392,"ICYMI! During the virtual COVID-19 Summit convened during #UNGA76, President Biden announced an add'l commitment of 500 million Pfizer vaccines in support of the COVID-19 response, bringing our total global vaccine donation to over 1.1 billion doses. https://t.co/LorG52prMB",[],['UNGA76'],[],['https://t.co/LorG52prMB'],USA,ICYMI  During the virtual COVID 19 Summit convened during  UNGA76  President Biden announced an add l commitment of 500 million Pfizer vaccines in support of the COVID 19 response  bringing our total global vaccine donation to over 1 1 billion doses  https   t co LorG52prMB,2021-09-23 09:00:00
2559,en,False,1440959647922507778,…&amp; what did @US_FDA “approve” of  @pfizer_news  overnight last night??🤔💉💉💉😷💰💰🙈🐑🪓🐑🪓🐑🪓👺 https://t.co/9vsa9f2si8,"['😷', '🙈', '💰', '👺', '💉', '🤔', '🪓', '🐑']",[],"['US_FDA', 'pfizer_news']",['https://t.co/9vsa9f2si8'],USA,… amp  what did  US FDA “approve” of   pfizer news  overnight last night   https   t co 9vsa9f2si8,2021-09-23 09:00:00
2560,en,False,1440959630918787075,"U.S. FDA backs Pfizer COVID-19 boosters for senior citizens, high-risk WHO and other global health advocates are opposed to wealthy nations dispensing a third round of shots when poor countries dont have enough vaccine for... #Global by #TheHindu https://t.co/9J0KBrQaqJ",[],"['Global', 'TheHindu']",[],['https://t.co/9J0KBrQaqJ'],USA,U S  FDA backs Pfizer COVID 19 boosters for senior citizens  high risk WHO and other global health advocates are opposed to wealthy nations dispensing a third round of shots when poor countries dont have enough vaccine for     Global by  TheHindu https   t co 9J0KBrQaqJ,2021-09-23 09:00:00
2561,en,True,1440959599818035206,"FDA backs Pfizer COVID-19 boosters for seniors, high-risk https://t.co/DpLFmCOFiy",[],[],[],['https://t.co/DpLFmCOFiy'],USA,FDA backs Pfizer COVID 19 boosters for seniors  high risk https   t co DpLFmCOFiy,2021-09-23 09:00:00
2562,en,False,1440959589432938497,"@cheryllynmartin Ah, little Pfizer - he's* such a dislikeable little prick

*possibly a she, not sure",[],[],['cheryllynmartin'],[],USA, cheryllynmartin Ah  little Pfizer   he s  such a dislikeable little prick possibly a she  not sure,2021-09-23 09:00:00
2563,en,False,1440959571498053635,"NGO @Amnesty has published a damning report on the #pharma companies behind #COVID19 vaccines, accusing @AstraZeneca, @BioNTech_Group, @JNJNews, @moderna_tx, @Novavax and @pfizer of fuelling a human rights crisis https://t.co/MS1a6vn71B",[],"['pharma', 'COVID19']","['amnesty', 'AstraZeneca', 'BioNTech_Group', 'JNJNews', 'moderna_tx', 'Novavax', 'pfizer']",['https://t.co/MS1a6vn71B'],USA,NGO  Amnesty has published a damning report on the  pharma companies behind  COVID19 vaccines  accusing  AstraZeneca   BioNTech Group   JNJNews   moderna tx   Novavax and  pfizer of fuelling a human rights crisis https   t co MS1a6vn71B,2021-09-23 09:00:00
2564,en,False,1440959567454691328,@CNN I belive Pfizer vaccinen is the best of them all. Anne.,[],[],['CNN'],[],USA, CNN I belive Pfizer vaccinen is the best of them all  Anne ,2021-09-23 09:00:00
2565,en,False,1440959561268019201,So relieved to have had my second dose Pfizer today. @StVincentsMelb run a beautiful operation  @melbournemuseum Looking forward to (hopefully) vaxxing my baby through breastmilk antibodies 🤞🤞🤞#VaxSolidarity,['🤞'],['VaxSolidarity'],"['StVincentsMelb', 'melbournemuseum']",[],USA,So relieved to have had my second dose Pfizer today   StVincentsMelb run a beautiful operation   melbournemuseum Looking forward to  hopefully  vaxxing my baby through breastmilk antibodies  VaxSolidarity,2021-09-23 09:00:00
2566,en,False,1440959550622998530,@_garrywalia PM Modi has taken Pfizer.....,[],[],['_garrywalia'],[],USA,  garrywalia PM Modi has taken Pfizer     ,2021-09-23 09:00:00
2567,en,False,1440959533501669379,@latingle @eaglesbirdies @GuardianAus Hmn. Do NSW have 3 or 6 week gap between Pfizer atm?,[],[],"['latingle', 'eaglesbirdies', 'GuardianAus']",[],USA, latingle  eaglesbirdies  GuardianAus Hmn  Do NSW have 3 or 6 week gap between Pfizer atm ,2021-09-23 09:00:00
2568,en,False,1440959495908192256,"Still not enough #pfizer in Victoria. WTF ARE YOU DOING, GREG HUNT. WTF ARE YOU DOING @JoshFrydenberg? #MorrisonFailure #MorrisonVaccineCrisis #MorrisonVaccineCrisis #auspol #LNPCorruptionParty #LNPDisgrace",[],"['pfizer', 'MorrisonFailure', 'MorrisonVaccineCrisis', 'MorrisonVaccineCrisis', 'auspol', 'LNPCorruptionParty', 'LNPDisgrace']",['JoshFrydenberg'],[],USA,Still not enough  pfizer in Victoria  WTF ARE YOU DOING  GREG HUNT  WTF ARE YOU DOING  JoshFrydenberg   MorrisonFailure  MorrisonVaccineCrisis  MorrisonVaccineCrisis  auspol  LNPCorruptionParty  LNPDisgrace,2021-09-23 09:00:00
