,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_hi,text_es
126,en,1441077740887752706,1414736198053072898, ravenzwriting I got a few cute ones I’ve read recently  https   t co JBY0MlGQ3r https   t co 5qu2CIZbXa https   t co HFfOvCoi7J,1441078917691961348,False, ravenzwriting I got a few cute ones I’ve read recently  https   t co JBY0MlGQ3r https   t co 5qu2CIZbXa https   t co HFfOvCoi7J,2021-09-23T16:36:02.000Z,USA,"@ravenzwriting I got a few cute ones I’ve read recently: https://t.co/JBY0MlGQ3r 

https://t.co/5qu2CIZbXa 

https://t.co/HFfOvCoi7J",[],[],['ravenzwriting'],"['https://t.co/JBY0MlGQ3r', 'https://t.co/5qu2CIZbXa', 'https://t.co/HFfOvCoi7J']",,
127,en,1441077614383271943,1255255490466123778, bts ot7ismybias 7 shots of espresso without water  I was trynna make jaemin s namericano ,1441079656602550275,False, bts ot7ismybias 7 shots of espresso without water  I was trynna make jaemin s namericano ,2021-09-23T16:38:58.000Z,USA,@bts_ot7ismybias 7 shots of espresso without water 😃 I was trynna make jaemin's namericano 💀,"['💀', '😃']",[],['bts_ot7ismybias'],[],,
128,en,1441077614383271943,1255255490466123778, jinuliet u drank wtf now,1441077791466786817,False, jinuliet u drank wtf now,2021-09-23T16:31:34.000Z,USA,@jinuliet u drank wtf now,[],[],['jinuliet'],[],,
129,en,1441077543621304320,17729165, Anchel  this one s going on my Tinder ,1441078663764537347,False, Anchel  this one s going on my Tinder ,2021-09-23T16:35:02.000Z,USA,"@Anchel ""this one's going on my Tinder""",[],[],['Anchel'],[],,
130,en,1441077158353379334,19862991, lillib3t For me or the scaredy cat readers ,1441085421325225985,False, lillib3t For me or the scaredy cat readers ,2021-09-23T17:01:53.000Z,USA,@lillib3t For me or the scaredy cat readers 😂😂,['😂'],[],['lillib3t'],[],,
131,en,1441077158353379334,19862991, Fizzytwizler Change is as good as a rest ,1441085063622397956,False, Fizzytwizler Change is as good as a rest ,2021-09-23T17:00:27.000Z,USA,@Fizzytwizler Change is as good as a rest 😄😂😂,"['😄', '😂']",[],['Fizzytwizler'],[],,
132,en,1441077158353379334,19862991, lillib3t You know me    thought I’d move on from eyeballs ,1441084722889691144,False, lillib3t You know me    thought I’d move on from eyeballs ,2021-09-23T16:59:06.000Z,USA,@lillib3t You know me... thought I’d move on from eyeballs 🤷🏻‍♀️😂😂,"['😂', '🤷🏻\u200d♀️']",[],['lillib3t'],[],,
133,en,1441077158353379334,19862991, Fizzytwizler I guess that’s a yes ,1441083097374605321,False, Fizzytwizler I guess that’s a yes ,2021-09-23T16:52:39.000Z,USA,@Fizzytwizler 😂😂😂😂I guess that’s a yes!,['😂'],[],['Fizzytwizler'],[],,
134,en,1441077051369435138,1349065161567576064, pluralistkidd ive seen taylors once or twice  mostly prominently in the episode he meets anna’s dad  they hug and it’s right there   but never miranda’s omg,1441079978012065797,False, pluralistkidd ive seen taylors once or twice  mostly prominently in the episode he meets anna’s dad  they hug and it’s right there   but never miranda’s omg,2021-09-23T16:40:15.000Z,USA,"@pluralistkidd ive seen taylors once or twice (mostly prominently in the episode he meets anna’s dad, they hug and it’s right there), but never miranda’s omg",[],[],['pluralistkidd'],['https://t.co/NxJuKITXDO'],,
135,en,1441077051369435138,1349065161567576064, capseveride miranda has a finger tattoo too and i never see it on screen either ,1441079447696904192,False, capseveride miranda has a finger tattoo too and i never see it on screen either ,2021-09-23T16:38:08.000Z,USA,@capseveride miranda has a finger tattoo too and i never see it on screen either 🤨,['🤨'],[],['capseveride'],[],,
136,en,1441076859123343372,3303769938,And my ass was really like yeah girl dress that mf too,1441077117131837441,False,And my ass was really like yeah girl dress that mf too,2021-09-23T16:28:53.000Z,USA,And my ass was really like yeah girl dress that mf too,[],[],[],[],,
137,en,1441076690411737100,345558791, aDwarfLegion i recognize this one,1441091124186152967,False, aDwarfLegion i recognize this one,2021-09-23T17:24:32.000Z,USA,@aDwarfLegion i recognize this one🥴,['🥴'],[],['aDwarfLegion'],[],,
