,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_es,tweet_date
68,es,tatclouthier,33937794,True,1406239199133679616,Anoche me reuní con un grupo empresarial de #Tlaxcala. Presentaron áreas de oportunidad  para crecer y presumieron su talento en TI y compromiso por fortalecer la economía circular y el turismo con historia y ligado a la  gastronomía.,[],['Tlaxcala'],[],[],Mexico,Anoche me reuní con un grupo empresarial de  Tlaxcala  Presentaron áreas de oportunidad  para crecer y presumieron su talento en TI y compromiso por fortalecer la economía circular y el turismo con historia y ligado a la  gastronomía ,2021-06-19 13:00:00
69,es,tatclouthier,33937794,True,1405558775768137729,Prueba México https://t.co/ptYMuRASoB,[],[],[],[],Mexico,Prueba México https   t co ptYMuRASoB,2021-06-17 16:00:00
70,es,tatclouthier,33937794,True,1404061152091557893,"Un día como hoy, nace  #Maquío, quien dio paso a este esfuerzo @lacasadelmaquio, de formación de liderazgos para la reflexión y acción x una sociedad más justa, respetuosa, sana y productiva. @AmayaDucru @mariajosemtzc @CarmenClou @fernandaclou @lorenaclouthier @RebecaClouthier",[],['Maquío'],"['lacasadelmaquio', 'AmayaDucru', 'mariajosemtzc', 'CarmenClou', 'fernandaclou', 'lorenaclouthier', 'RebecaClouthier']",[],Mexico,Un día como hoy  nace   Maquío  quien dio paso a este esfuerzo  lacasadelmaquio  de formación de liderazgos para la reflexión y acción x una sociedad más justa  respetuosa  sana y productiva   AmayaDucru  mariajosemtzc  CarmenClou  fernandaclou  lorenaclouthier  RebecaClouthier,2021-06-13 13:00:00
71,es,tatclouthier,33937794,True,1403743194681118723,"Interesante de ver este giro:
https://t.co/efn3RAdc7C",[],[],[],['https://t.co/efn3RAdc7C'],Mexico,Interesante de ver este giro https   t co efn3RAdc7C,2021-06-12 16:00:00
72,es,tatclouthier,33937794,True,1403157806803521540,"Después de firmar un Memorando de Entendimiento con el Ministro de Economía de #Guatemala, @MaloufTony, pasamos al evento de Cambio de La Rosa de la Paz. Seguimos trabajando para promover y crecer el intercambio comercial entre ambas naciones. https://t.co/slflZ7Sc8c",[],['Guatemala'],['MaloufTony'],[],Mexico,Después de firmar un Memorando de Entendimiento con el Ministro de Economía de  Guatemala   MaloufTony  pasamos al evento de Cambio de La Rosa de la Paz  Seguimos trabajando para promover y crecer el intercambio comercial entre ambas naciones  https   t co slflZ7Sc8c,2021-06-11 01:00:00
73,es,tatclouthier,33937794,True,1402726820378726409,"Estimado @ArturoHerrera_G, te felicito. Estoy segura que seguirás aportando tu mejor esfuerzo para el bien de nuestro país como lo has hecho en @Hacienda_Mexico. 
Gracias por tus atenciones y firme colaboración con @SE_mx.",[],[],"['ArturoHerrera_G', 'Hacienda_Mexico', 'SE_mx']",[],Mexico,Estimado  ArturoHerrera G  te felicito  Estoy segura que seguirás aportando tu mejor esfuerzo para el bien de nuestro país como lo has hecho en  Hacienda Mexico  Gracias por tus atenciones y firme colaboración con  SE mx ,2021-06-09 21:00:00
74,es,tatclouthier,33937794,True,1402631819158331394,"Que orden, coordinación y sobre todo atención de parte del personal que apoya para vacunación. Gracias a #Salud federal  y al gobierno de @Claudiashein x este trabajo https://t.co/qRpAzPxwcK",[],['Salud'],['Claudiashein'],[],Mexico,Que orden  coordinación y sobre todo atención de parte del personal que apoya para vacunación  Gracias a  Salud federal  y al gobierno de  Claudiashein x este trabajo https   t co qRpAzPxwcK,2021-06-09 14:00:00
75,es,tatclouthier,33937794,True,1401902063651594248,"Buen día, iniciamos nuestra primera visita virtual a Canadá que contempla, entre otras reuniones, un importante encuentro con mi homóloga, la ministra @mary_ng, en el que abordaremos temas  relacionados al #TMEC.

Otro diálogo relevante con @FP_Champagne, Ministro de Innovación,",[],['TMEC'],"['mary_ng', 'FP_Champagne']",[],Mexico,Buen día  iniciamos nuestra primera visita virtual a Canadá que contempla  entre otras reuniones  un importante encuentro con mi homóloga  la ministra  mary ng  en el que abordaremos temas  relacionados al  TMEC Otro diálogo relevante con  FP Champagne  Ministro de Innovación ,2021-06-07 14:00:00
76,es,tatclouthier,33937794,True,1401590688689659912,Misión cumplida. #VotoLibre https://t.co/wcpU6TBf2m,[],['VotoLibre'],[],[],Mexico,Misión cumplida   VotoLibre https   t co wcpU6TBf2m,2021-06-06 17:00:00
77,es,tatclouthier,33937794,True,1401581764976517124,Ya en fila para ejercer mi derecho!!!,[],[],[],[],Mexico,Ya en fila para ejercer mi derecho   ,2021-06-06 17:00:00
78,es,tatclouthier,33937794,True,1401162080657494019,"Finalizamos segundo día de participación en la Reunión Virtual de Ministros Responsables de Comercio de @APEC 

Junto con 21 homólogos de la región Asia-Pacífico compartimos vías para estimular la inversión y cooperación económica entre nuestros países. https://t.co/DmGMYmhPSK",[],[],['APEC'],[],Mexico,Finalizamos segundo día de participación en la Reunión Virtual de Ministros Responsables de Comercio de  APEC Junto con 21 homólogos de la región Asia Pacífico compartimos vías para estimular la inversión y cooperación económica entre nuestros países  https   t co DmGMYmhPSK,2021-06-05 13:00:00
79,es,tatclouthier,33937794,True,1401145639329742848,"Nuestro segundo día del Foro @APEC. La inclusión, el comercio justo y abierto así como la digitalización son temas centrales. Todo esto de la mano de la colaboración entre naciones, especialmente poniendo la salud al centro. https://t.co/vXkoKvWXrf",[],[],['APEC'],[],Mexico,Nuestro segundo día del Foro  APEC  La inclusión  el comercio justo y abierto así como la digitalización son temas centrales  Todo esto de la mano de la colaboración entre naciones  especialmente poniendo la salud al centro  https   t co vXkoKvWXrf,2021-06-05 12:00:00
80,es,tatclouthier,33937794,True,1400781738863955972,"Iniciamos nuestra participación en la Reunión Virtual de Ministros Responsables de Comercio de @APEC.

A propósito de nuestra intervención en este relevante foro de cooperación económica comparto mi colaboración en el periódico @eleconomista 
https://t.co/oLDRriPK2t https://t.co/uUGGO5CjdV",[],[],"['APEC', 'eleconomista']",['https://t.co/oLDRriPK2t'],Mexico,Iniciamos nuestra participación en la Reunión Virtual de Ministros Responsables de Comercio de  APEC A propósito de nuestra intervención en este relevante foro de cooperación económica comparto mi colaboración en el periódico  eleconomista https   t co oLDRriPK2t https   t co uUGGO5CjdV,2021-06-04 12:00:00
81,es,tatclouthier,33937794,True,1399676966253600768,"Damos la bienvenida al nuevo Secretario General de la #OCDE, Mathias Cormann de Australia. Listos para trabajar y  construir puentes entre naciones, como se comentó en la reunión. https://t.co/jbw1SEaJKW",[],['OCDE'],[],[],Mexico,Damos la bienvenida al nuevo Secretario General de la  OCDE  Mathias Cormann de Australia  Listos para trabajar y  construir puentes entre naciones  como se comentó en la reunión  https   t co jbw1SEaJKW,2021-06-01 11:00:00
