,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_es,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_en
32,es,1441095871764992020,801184628, Mision Verdad Siempre se dijo que era un choque de trenes  el virus siempre ha existido en todo el mundo ,1441105726445789188,False, Mision Verdad Siempre se dijo que era un choque de trenes  el virus siempre ha existido en todo el mundo ,2021-09-23T18:22:34.000Z,Mexico,"@Mision_Verdad Siempre se dijo que era un choque de trenes, el virus siempre ha existido en todo el mundo.",[],[],['Mision_Verdad'],[],
33,es,1441095871764992020,801184628,Aunque la Administración Biden argumenta que la lista fue elaborada basándose en las vacunas aprobadas por la OMS  lo cierto es que la decisión responde a una razón política  seguir desacreditando a los Estados que han desarrollado vacunas seguras y accesibles ,1441096657186164738,False,Aunque la Administración Biden argumenta que la lista fue elaborada basándose en las vacunas aprobadas por la OMS  lo cierto es que la decisión responde a una razón política  seguir desacreditando a los Estados que han desarrollado vacunas seguras y accesibles ,2021-09-23T17:46:32.000Z,Mexico,"Aunque la Administración Biden argumenta que la lista fue elaborada basándose en las vacunas aprobadas por la OMS, lo cierto es que la decisión responde a una razón política: seguir desacreditando a los Estados que han desarrollado vacunas seguras y accesibles.",[],[],[],['https://t.co/tRMVYjmEWU'],
34,es,1441095871764992020,801184628, Mision Verdad Y los que se dieron sputnik moderna  Sabes algo ,1441096247234875398,False, Mision Verdad Y los que se dieron sputnik moderna  Sabes algo ,2021-09-23T17:44:54.000Z,Mexico,@Mision_Verdad Y los que se dieron sputnik/moderna? Sabes algo?,[],[],['Mision_Verdad'],[],
35,es,1441095744027447304,1241473497890803713, silviaf50094961 Sueño más que cansancio,1441097573020753923,False, silviaf50094961 Sueño más que cansancio,2021-09-23T17:50:10.000Z,Mexico,@silviaf50094961 Sueño más que cansancio,[],[],['silviaf50094961'],[],
36,es,1441094623368155143,158497464, cjhino  nbg    pasaroncosas899 Sí  baja la posibilidad de contagio  No la anula  Podés contagiarte  pero es menos probable que si no estuvieras vacunado ,1441108007127900168,False, cjhino  nbg    pasaroncosas899 Sí  baja la posibilidad de contagio  No la anula  Podés contagiarte  pero es menos probable que si no estuvieras vacunado ,2021-09-23T18:31:38.000Z,Mexico,"@cjhino @nbg__ @pasaroncosas899 Sí, baja la posibilidad de contagio. No la anula. Podés contagiarte, pero es menos probable que si no estuvieras vacunado.",[],[],"['cjhino', 'nbg__', 'pasaroncosas899']",['https://t.co/feC0sgPieq'],
37,es,1441094623368155143,158497464, nbg    pasaroncosas899 Pobres  tienen que quedarse unos días en casa  Mi hija de riesgo está en casa DESDE HACE UN AÑO Y MEDIO  ¿Cual es la lógica ,1441106447626997764,False, nbg    pasaroncosas899 Pobres  tienen que quedarse unos días en casa  Mi hija de riesgo está en casa DESDE HACE UN AÑO Y MEDIO  ¿Cual es la lógica ,2021-09-23T18:25:26.000Z,Mexico,"@nbg__ @pasaroncosas899 Pobres, tienen que quedarse unos días en casa. Mi hija de riesgo está en casa DESDE HACE UN AÑO Y MEDIO. ¿Cual es la lógica?",[],[],"['nbg__', 'pasaroncosas899']",['https://t.co/jcwHAd1gET'],
38,es,1441094623368155143,158497464, nbg    pasaroncosas899 Pero la vacuna nunca impidió que uno se contagie  o sí  No entiendo ,1441098633705709587,False, nbg    pasaroncosas899 Pero la vacuna nunca impidió que uno se contagie  o sí  No entiendo ,2021-09-23T17:54:23.000Z,Mexico,"@nbg__ @pasaroncosas899 Pero la vacuna nunca impidió que uno se contagie, o sí? No entiendo.",[],[],"['nbg__', 'pasaroncosas899']",[],
39,es,1441094075499745281,221378668, ReporteYa  puzkas Ah ok  o sea  Seguiré pidiendo mi segunda dosis sputnik o comienzo de cero  Anja  y q consecuencias tendrá mezclar arrancando de cero  Que postura de gallina   ,1441102585872597003,False, ReporteYa  puzkas Ah ok  o sea  Seguiré pidiendo mi segunda dosis sputnik o comienzo de cero  Anja  y q consecuencias tendrá mezclar arrancando de cero  Que postura de gallina   ,2021-09-23T18:10:05.000Z,Mexico,"@ReporteYa @puzkas Ah ok, o sea? Seguiré pidiendo mi segunda dosis sputnik o comienzo de cero. Anja, y q consecuencias tendrá mezclar arrancando de cero. Que postura de gallina!!!",[],[],"['ReporteYa', 'puzkas']",['https://t.co/nt3d97x5Az'],
40,es,1441093659059916806,788506657, ronboy1120  Gaaaabs 11 Loco es real ,1441098775741665292,False, ronboy1120  Gaaaabs 11 Loco es real ,2021-09-23T17:54:57.000Z,Mexico,@ronboy1120 @Gaaaabs_11 Loco es real!,[],[],"['ronboy1120', 'Gaaaabs_11']",[],
41,es,1441093659059916806,788506657, Gaaaabs 11 No entienden que hay algo super contagioso y que vacunarse no impide el contagio sino solo reduce la gravedad de los síntomas ,1441095262202593291,False, Gaaaabs 11 No entienden que hay algo super contagioso y que vacunarse no impide el contagio sino solo reduce la gravedad de los síntomas ,2021-09-23T17:40:59.000Z,Mexico,@Gaaaabs_11 No entienden que hay algo super contagioso y que vacunarse no impide el contagio sino solo reduce la gravedad de los síntomas.,[],[],['Gaaaabs_11'],[],
42,es,1441093659059916806,788506657, Gaaaabs 11 Que den porros como en la usa,1441094757418102793,False, Gaaaabs 11 Que den porros como en la usa,2021-09-23T17:38:59.000Z,Mexico,@Gaaaabs_11 Que den porros como en la usa,[],[],['Gaaaabs_11'],[],
43,es,1441092830185754631,1203613905882365952, SChiringuitos  soyelsecretario Yo pensaba que era la almorrana ,1441102197584850952,False, SChiringuitos  soyelsecretario Yo pensaba que era la almorrana ,2021-09-23T18:08:32.000Z,Mexico,@SChiringuitos @soyelsecretario Yo pensaba que era la almorrana.,[],[],"['SChiringuitos', 'soyelsecretario']",[],
